Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein CXQ85_000890 [[Candida] haemuloni],[Candida] haemuloni,117,117,93%,4e-26,32.10,1750,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025339548.1?report=genbank&log$=prottop&blast_rank=89&RID=RBHFUX65013"",""XP_025339548.1"")"
uncharacterized protein CXQ87_004557 [[Candida] duobushaemulonis],[Candida] duobushaemulonis,117,117,100%,4e-26,32.00,1137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025337938.1?report=genbank&log$=prottop&blast_rank=90&RID=RBHFUX65013"",""XP_025337938.1"")"
uncharacterized protein CJI97_002126 [[Candida] auris],[Candida] auris,116,116,86%,7e-26,27.73,861,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028891719.1?report=genbank&log$=prottop&blast_rank=91&RID=RBHFUX65013"",""XP_028891719.1"")"
uncharacterized protein CANTADRAFT_98838 [Suhomyces tanzawaensis NRRL Y-17324],Suhomyces tanzawaensis NRRL Y-17324,112,112,100%,9e-26,27.49,330,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020065558.1?report=genbank&log$=prottop&blast_rank=92&RID=RBHFUX65013"",""XP_020065558.1"")"
uncharacterized protein BABINDRAFT_89893 [Babjeviella inositovora NRRL Y-12698],Babjeviella inositovora NRRL Y-12698,114,114,91%,2e-25,34.91,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018983642.1?report=genbank&log$=prottop&blast_rank=93&RID=RBHFUX65013"",""XP_018983642.1"")"
uncharacterized protein CANTADRAFT_20838 [Suhomyces tanzawaensis NRRL Y-17324],Suhomyces tanzawaensis NRRL Y-17324,112,112,100%,3e-25,27.09,380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020064652.1?report=genbank&log$=prottop&blast_rank=94&RID=RBHFUX65013"",""XP_020064652.1"")"
uncharacterized protein CXQ87_004268 [[Candida] duobushaemulonis],[Candida] duobushaemulonis,113,113,87%,9e-25,33.33,1927,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025337656.1?report=genbank&log$=prottop&blast_rank=95&RID=RBHFUX65013"",""XP_025337656.1"")"
hypothetical protein SPAPADRAFT_66147 [Spathaspora passalidarum NRRL Y-27907],Spathaspora passalidarum NRRL Y-27907,113,113,91%,1e-24,31.90,1474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007374664.1?report=genbank&log$=prottop&blast_rank=96&RID=RBHFUX65013"",""XP_007374664.1"")"
Mucin-17 [Wickerhamomyces ciferrii],Wickerhamomyces ciferrii,108,108,95%,6e-23,32.79,1759,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011275016.1?report=genbank&log$=prottop&blast_rank=97&RID=RBHFUX65013"",""XP_011275016.1"")"
uncharacterized protein BABINDRAFT_10105 [Babjeviella inositovora NRRL Y-12698],Babjeviella inositovora NRRL Y-12698,105,105,99%,2e-22,31.60,434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018982792.1?report=genbank&log$=prottop&blast_rank=98&RID=RBHFUX65013"",""XP_018982792.1"")"
hypothetical protein WICANDRAFT_102517 [Wickerhamomyces anomalus NRRL Y-366-8],Wickerhamomyces anomalus NRRL Y-366-8,105,105,87%,6e-22,32.30,910,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019040826.1?report=genbank&log$=prottop&blast_rank=99&RID=RBHFUX65013"",""XP_019040826.1"")"
hypothetical protein C7M61_001785 [[Candida] pseudohaemulonii],[Candida] pseudohaemulonii,104,197,86%,2e-21,31.53,5748,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024715064.1?report=genbank&log$=prottop&blast_rank=100&RID=RBHFUX65013"",""XP_024715064.1"")"
uncharacterized protein DIURU_005427 [Diutina rugosa],Diutina rugosa,103,103,90%,2e-21,34.21,1415,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034009851.1?report=genbank&log$=prottop&blast_rank=101&RID=RBHFUX65013"",""XP_034009851.1"")"
hypothetical protein C7M61_003289 [[Candida] pseudohaemulonii],[Candida] pseudohaemulonii,102,102,86%,7e-21,34.09,2138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024713118.1?report=genbank&log$=prottop&blast_rank=102&RID=RBHFUX65013"",""XP_024713118.1"")"
uncharacterized protein DIURU_005407 [Diutina rugosa],Diutina rugosa,102,102,90%,7e-21,33.63,787,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034009831.1?report=genbank&log$=prottop&blast_rank=103&RID=RBHFUX65013"",""XP_034009831.1"")"
hypothetical protein C7M61_002447 [[Candida] pseudohaemulonii],[Candida] pseudohaemulonii,101,101,86%,2e-20,31.25,2715,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024714320.1?report=genbank&log$=prottop&blast_rank=104&RID=RBHFUX65013"",""XP_024714320.1"")"
hypothetical protein PGUG_00673 [Meyerozyma guilliermondii ATCC 6260],Meyerozyma guilliermondii ATCC 6260,99.8,99.8,91%,5e-20,33.76,812,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001487296.1?report=genbank&log$=prottop&blast_rank=105&RID=RBHFUX65013"",""XP_001487296.1"")"
putative agglutinin-like protein [Wickerhamomyces ciferrii],Wickerhamomyces ciferrii,95.1,95.1,86%,2e-18,31.36,954,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011271329.1?report=genbank&log$=prottop&blast_rank=106&RID=RBHFUX65013"",""XP_011271329.1"")"
hypothetical protein TDEL_0G04810 [Torulaspora delbrueckii],Torulaspora delbrueckii,94.4,94.4,87%,4e-18,31.93,1671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003683059.1?report=genbank&log$=prottop&blast_rank=107&RID=RBHFUX65013"",""XP_003683059.1"")"
uncharacterized protein CXQ87_002884 [[Candida] duobushaemulonis],[Candida] duobushaemulonis,94.0,94.0,86%,5e-18,29.46,2012,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025335677.1?report=genbank&log$=prottop&blast_rank=108&RID=RBHFUX65013"",""XP_025335677.1"")"
uncharacterized protein CANTADRAFT_99419 [Suhomyces tanzawaensis NRRL Y-17324],Suhomyces tanzawaensis NRRL Y-17324,90.5,90.5,91%,1e-17,29.31,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020066202.1?report=genbank&log$=prottop&blast_rank=109&RID=RBHFUX65013"",""XP_020066202.1"")"
uncharacterized protein CANTADRAFT_150536 [Suhomyces tanzawaensis NRRL Y-17324],Suhomyces tanzawaensis NRRL Y-17324,90.9,90.9,97%,2e-17,27.34,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020061727.1?report=genbank&log$=prottop&blast_rank=110&RID=RBHFUX65013"",""XP_020061727.1"")"
uncharacterized protein HG535_0E05880 [Zygotorulaspora mrakii],Zygotorulaspora mrakii,90.5,90.5,89%,8e-17,29.84,2223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037145229.1?report=genbank&log$=prottop&blast_rank=111&RID=RBHFUX65013"",""XP_037145229.1"")"
uncharacterized protein AC631_02982 [Debaryomyces fabryi],Debaryomyces fabryi,89.0,89.0,92%,2e-16,29.79,724,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015467388.1?report=genbank&log$=prottop&blast_rank=112&RID=RBHFUX65013"",""XP_015467388.1"")"
DEHA2G02178p [Debaryomyces hansenii CBS767],Debaryomyces hansenii CBS767,87.0,87.0,100%,1e-15,30.74,751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_461635.2?report=genbank&log$=prottop&blast_rank=113&RID=RBHFUX65013"",""XP_461635.2"")"
uncharacterized protein CANTADRAFT_39318 [Suhomyces tanzawaensis NRRL Y-17324],Suhomyces tanzawaensis NRRL Y-17324,78.2,78.2,76%,1e-13,26.26,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020064650.1?report=genbank&log$=prottop&blast_rank=114&RID=RBHFUX65013"",""XP_020064650.1"")"
agglutinin-like protein 6 serine rich [Scheffersomyces stipitis CBS 6054],Scheffersomyces stipitis CBS 6054,80.9,80.9,90%,1e-13,28.63,1052,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001384616.2?report=genbank&log$=prottop&blast_rank=115&RID=RBHFUX65013"",""XP_001384616.2"")"
KLTH0C00440p [Lachancea thermotolerans CBS 6340],Lachancea thermotolerans CBS 6340,78.2,78.2,95%,2e-12,30.12,2515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002552247.1?report=genbank&log$=prottop&blast_rank=116&RID=RBHFUX65013"",""XP_002552247.1"")"
uncharacterized protein HG536_0E04140 [Torulaspora globosa],Torulaspora globosa,76.6,76.6,93%,4e-12,25.73,910,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037140177.1?report=genbank&log$=prottop&blast_rank=117&RID=RBHFUX65013"",""XP_037140177.1"")"
hypothetical protein TPHA_0N00820 [Tetrapisispora phaffii CBS 4417],Tetrapisispora phaffii CBS 4417,75.9,75.9,97%,8e-12,29.88,793,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003688297.1?report=genbank&log$=prottop&blast_rank=118&RID=RBHFUX65013"",""XP_003688297.1"")"
alpha-agglutinin [Kluyveromyces marxianus DMKU3-1042],Kluyveromyces marxianus DMKU3-1042,74.7,74.7,99%,1e-11,27.06,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022678126.1?report=genbank&log$=prottop&blast_rank=119&RID=RBHFUX65013"",""XP_022678126.1"")"
uncharacterized protein CANTADRAFT_266706 [Suhomyces tanzawaensis NRRL Y-17324],Suhomyces tanzawaensis NRRL Y-17324,73.9,73.9,99%,3e-11,27.84,823,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020063595.1?report=genbank&log$=prottop&blast_rank=120&RID=RBHFUX65013"",""XP_020063595.1"")"
uncharacterized protein HG535_0F00140 [Zygotorulaspora mrakii],Zygotorulaspora mrakii,73.2,73.2,93%,4e-11,26.34,389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037145231.1?report=genbank&log$=prottop&blast_rank=121&RID=RBHFUX65013"",""XP_037145231.1"")"
uncharacterized protein KLLA0_E09681g [Kluyveromyces lactis],Kluyveromyces lactis,73.2,73.2,91%,7e-11,27.66,782,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_454386.1?report=genbank&log$=prottop&blast_rank=122&RID=RBHFUX65013"",""XP_454386.1"")"
Sag1p [Saccharomyces cerevisiae S288C],Saccharomyces cerevisiae S288C,71.2,71.2,98%,3e-10,27.56,650,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_012537.1?report=genbank&log$=prottop&blast_rank=123&RID=RBHFUX65013"",""NP_012537.1"")"
hypothetical protein CYBJADRAFT_171555 [Cyberlindnera jadinii NRRL Y-1542],Cyberlindnera jadinii NRRL Y-1542,68.9,68.9,95%,9e-10,26.53,348,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020072689.1?report=genbank&log$=prottop&blast_rank=124&RID=RBHFUX65013"",""XP_020072689.1"")"
uncharacterized protein HG535_0D06290 [Zygotorulaspora mrakii],Zygotorulaspora mrakii,69.7,69.7,89%,9e-10,26.92,1331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037144645.1?report=genbank&log$=prottop&blast_rank=125&RID=RBHFUX65013"",""XP_037144645.1"")"
uncharacterized protein HG535_0F00150 [Zygotorulaspora mrakii],Zygotorulaspora mrakii,69.7,69.7,88%,1e-09,27.83,2408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037145232.1?report=genbank&log$=prottop&blast_rank=126&RID=RBHFUX65013"",""XP_037145232.1"")"
SAG1-like protein [Saccharomyces eubayanus],Saccharomyces eubayanus,68.6,68.6,98%,1e-09,25.59,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018221315.1?report=genbank&log$=prottop&blast_rank=127&RID=RBHFUX65013"",""XP_018221315.1"")"
AGR327Cp [Eremothecium gossypii ATCC 10895],Eremothecium gossypii ATCC 10895,68.9,68.9,100%,1e-09,25.97,963,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_986993.3?report=genbank&log$=prottop&blast_rank=128&RID=RBHFUX65013"",""NP_986993.3"")"
uncharacterized protein CAGL0G04125g [[Candida] glabrata],[Candida] glabrata,67.0,67.0,95%,7e-09,23.98,763,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_446542.1?report=genbank&log$=prottop&blast_rank=129&RID=RBHFUX65013"",""XP_446542.1"")"
uncharacterized protein LALA0_S06e02278g [Lachancea lanzarotensis],Lachancea lanzarotensis,65.5,65.5,96%,2e-08,24.51,979,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022628947.1?report=genbank&log$=prottop&blast_rank=130&RID=RBHFUX65013"",""XP_022628947.1"")"
hypothetical protein TBLA_0D03140 [Tetrapisispora blattae CBS 6284],Tetrapisispora blattae CBS 6284,64.7,64.7,98%,4e-08,25.30,718,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004180333.1?report=genbank&log$=prottop&blast_rank=131&RID=RBHFUX65013"",""XP_004180333.1"")"
Sag1 [Saccharomyces paradoxus],Saccharomyces paradoxus,64.3,64.3,98%,6e-08,26.67,649,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033767273.1?report=genbank&log$=prottop&blast_rank=132&RID=RBHFUX65013"",""XP_033767273.1"")"
hypothetical protein NCAS_0A01430 [Naumovozyma castellii CBS 4309],Naumovozyma castellii CBS 4309,63.9,63.9,98%,8e-08,26.69,771,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003673094.1?report=genbank&log$=prottop&blast_rank=133&RID=RBHFUX65013"",""XP_003673094.1"")"
KLTH0B02860p [Lachancea thermotolerans CBS 6340],Lachancea thermotolerans CBS 6340,62.0,62.0,98%,4e-07,26.19,828,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002551913.1?report=genbank&log$=prottop&blast_rank=134&RID=RBHFUX65013"",""XP_002551913.1"")"
KLTH0F19888p [Lachancea thermotolerans CBS 6340],Lachancea thermotolerans CBS 6340,61.2,61.2,94%,6e-07,27.97,1406,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002555052.1?report=genbank&log$=prottop&blast_rank=135&RID=RBHFUX65013"",""XP_002555052.1"")"
hypothetical protein KNAG_0H02380 [Kazachstania naganishii CBS 8797],Kazachstania naganishii CBS 8797,61.2,61.2,98%,7e-07,26.07,663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022465898.1?report=genbank&log$=prottop&blast_rank=136&RID=RBHFUX65013"",""XP_022465898.1"")"
hypothetical protein NDAI_0C02370 [Naumovozyma dairenensis CBS 421],Naumovozyma dairenensis CBS 421,60.8,60.8,90%,9e-07,26.52,639,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003669140.1?report=genbank&log$=prottop&blast_rank=137&RID=RBHFUX65013"",""XP_003669140.1"")"
hypothetical protein KAFR_0C06280 [Kazachstania africana CBS 2517],Kazachstania africana CBS 2517,60.5,60.5,77%,1e-06,26.13,712,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003956759.1?report=genbank&log$=prottop&blast_rank=138&RID=RBHFUX65013"",""XP_003956759.1"")"
Sag1p [Kazachstania barnettii],Kazachstania barnettii,59.3,59.3,90%,3e-06,28.88,616,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041404163.1?report=genbank&log$=prottop&blast_rank=139&RID=RBHFUX65013"",""XP_041404163.1"")"
hypothetical protein CYBJADRAFT_192285 [Cyberlindnera jadinii NRRL Y-1542],Cyberlindnera jadinii NRRL Y-1542,58.2,58.2,89%,8e-06,27.16,1155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020068023.1?report=genbank&log$=prottop&blast_rank=140&RID=RBHFUX65013"",""XP_020068023.1"")"
Description(Sequences  with  E-value WORSE than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  



		


